Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","446","China, Macao SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","686.607","X","Figure from international organizations",""
"OA","Annual population","446","China, Macao SAR","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","0","X","Figure from international organizations",""
"OA","Annual population","446","China, Macao SAR","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","661.838","X","Figure from international organizations",""
"OA","Annual population","156","China, mainland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1425893.465","X","Figure from international organizations",""
"OA","Annual population","156","China, mainland","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","535503.24","X","Figure from international organizations",""
"OA","Annual population","156","China, mainland","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","892977.294","X","Figure from international organizations",""
"OA","Annual population","158","China, Taiwan Province of","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","23859.912","X","Figure from international organizations",""
"OA","Annual population","158","China, Taiwan Province of","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","4936.127","X","Figure from international organizations",""
"OA","Annual population","158","China, Taiwan Province of","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","18936.553","X","Figure from international organizations",""
"OA","Annual population","170","Colombia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","51516.562","X","Figure from international organizations",""
"OA","Annual population","170","Colombia","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","9235.053","X","Figure from international organizations",""
"OA","Annual population","170","Colombia","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","41341.142","X","Figure from international organizations",""
"OA","Annual population","174","Comoros","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","821.625","X","Figure from international organizations",""
"OA","Annual population","174","Comoros","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","625.324","X","Figure from international organizations",""
"OA","Annual population","174","Comoros","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","263.083","X","Figure from international organizations",""
"OA","Annual population","178","Congo","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","5835.806","X","Figure from international organizations",""
"OA","Annual population","178","Congo","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","1850.391","X","Figure from international organizations",""
"OA","Annual population","178","Congo","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","3983.698","X","Figure from international organizations",""
"OA","Annual population","184","Cook Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","17.003","X","Figure from international organizations",""
"OA","Annual population","184","Cook Islands","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","4.261","X","Figure from international organizations",""
