Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","132","Cabo Verde","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","0.79","E","Estimated value",""
"RFN","Fertilizers by Nutrient","116","Cambodia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","26.47","E","Estimated value",""
"RFN","Fertilizers by Nutrient","116","Cambodia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","14.77","E","Estimated value",""
"RFN","Fertilizers by Nutrient","116","Cambodia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","3.19","E","Estimated value",""
"RFN","Fertilizers by Nutrient","120","Cameroon","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","5.42","E","Estimated value",""
"RFN","Fertilizers by Nutrient","120","Cameroon","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","2.23","E","Estimated value",""
"RFN","Fertilizers by Nutrient","120","Cameroon","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","3.05","E","Estimated value",""
"RFN","Fertilizers by Nutrient","124","Canada","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","66.27","E","Estimated value",""
"RFN","Fertilizers by Nutrient","124","Canada","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","28.47","E","Estimated value",""
"RFN","Fertilizers by Nutrient","124","Canada","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","22.22","E","Estimated value",""
"RFN","Fertilizers by Nutrient","140","Central African Republic","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","0.12","E","Estimated value",""
"RFN","Fertilizers by Nutrient","140","Central African Republic","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","0.02","E","Estimated value",""
"RFN","Fertilizers by Nutrient","140","Central African Republic","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","0.09","E","Estimated value",""
"RFN","Fertilizers by Nutrient","148","Chad","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","0.4","E","Estimated value",""
"RFN","Fertilizers by Nutrient","148","Chad","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","0.55","E","Estimated value",""
"RFN","Fertilizers by Nutrient","148","Chad","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","1.28","E","Estimated value",""
"RFN","Fertilizers by Nutrient","152","Chile","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","102.97","E","Estimated value",""
"RFN","Fertilizers by Nutrient","152","Chile","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","58.36","E","Estimated value",""
"RFN","Fertilizers by Nutrient","152","Chile","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","36.12","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","China","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","166.38","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","China","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","79.26","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","China","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","74.08","E","Estimated value",""
"RFN","Fertilizers by Nutrient","156","China, mainland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","166.4","E","Estimated value",""
"RFN","Fertilizers by Nutrient","156","China, mainland","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","78.95","E","Estimated value",""
"RFN","Fertilizers by Nutrient","156","China, mainland","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","73.76","E","Estimated value",""
"RFN","Fertilizers by Nutrient","158","China, Taiwan Province of","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","163.79","E","Estimated value",""
"RFN","Fertilizers by Nutrient","158","China, Taiwan Province of","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","129.91","E","Estimated value",""
"RFN","Fertilizers by Nutrient","158","China, Taiwan Province of","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","126.3","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","52.86","E","Estimated value",""
